dataset,variant,baseline,n_subjects,n_seeds,erpxttn_mean_auroc,erpxttn_seed_sd,mean_delta_baseline_minus_erpxttn,median_delta,sem,wilcoxon_p,wilcoxon_p_fdr,rank_biserial_effect
BNCI Horizon 2020 ErrP,full,eegnet,6,5,0.7755,0.0023,0.0699,0.0689,0.0115,0.03125,0.03125,1.0
BNCI Horizon 2020 ErrP,full,xdawn_rg,6,1,0.7755,0.0023,0.0449,0.0466,0.0136,0.03125,0.05625,1.0
BNCI Horizon 2020 ErrP,full,eeg_deformer,6,5,0.7755,0.0023,0.0662,0.069,0.0173,0.03125,0.046875,1.0
BNCI Horizon 2020 ErrP,full,epmn,6,5,0.7755,0.0023,0.0355,0.0363,0.013,0.0625,0.1125,0.9048
BNCI Horizon 2020 ErrP,3ch,eegnet,6,5,0.7706,0.0043,0.0218,0.0218,0.0121,0.21875,0.24609375,0.619
BNCI Horizon 2020 ErrP,3ch,xdawn_rg,6,1,0.7706,0.0043,0.0147,0.0069,0.0105,0.4375,0.5625,0.4286
BNCI Horizon 2020 ErrP,3ch,eeg_deformer,6,5,0.7706,0.0043,0.0167,0.0144,0.0064,0.03125,0.0703125,1.0
BNCI Horizon 2020 ErrP,3ch,epmn,6,5,0.7706,0.0043,-0.0435,-0.0369,0.018,0.03125,0.05625,-1.0
ERP CORE ERN,full,eegnet,40,5,0.9252,0.0017,0.0258,0.0227,0.0036,3.1632225727662444e-09,2.6299858291167766e-08,0.9293
ERP CORE ERN,full,xdawn_rg,40,1,0.9252,0.0017,0.0029,0.0028,0.004,0.34716529149409325,0.34716529149409325,0.1732
ERP CORE ERN,full,eeg_deformer,40,5,0.9252,0.0017,0.0165,0.0075,0.0038,3.061662209802307e-05,9.184986629406922e-05,0.7146
ERP CORE ERN,full,epmn,40,5,0.9252,0.0017,0.0017,0.0007,0.0028,0.9523059934635967,0.9658203125,0.0122
